id_soal,soal,jawaban,jawaban_benar,materi,jumlah_dikerjakan,jumlah_benar,kategori_soal
pm1,"Nationalgeographic.co.id—Penelitian baru
dari University of California - Riverside
menunjukan perubahan lingkungan dapat
menyebabkan kepunahan massal dapat
terjadi jutaan tahun lebih awal dari yang
disadari para ilmuwan sebelumnya.
Kehilangan ribuan spesies setiap tahun,
Bumi saat ini tengah menuju kepunahan
massal.
Kebanyakan dinosaurus terkenal
menghilang 66 juta tahun yang lalu pada
akhir periode Cretaceous. Sebelum ini,
mayoritas makhluk Bumi dimusnahkan

antara periode Permian dan Trias, kira-
kira 252 juta tahun yang lalu.

Berkat upaya para peneliti di UC Riverside
dan Virginia Tech, kini diketahui bahwa
kepunahan serupa terjadi 550 juta tahun
lalu, selama periode Ediakara. Penemuan
ini didokumentasikan dalam makalah
Prosiding National Academy of Sciences.
Untuk kepentingan penelitian,
sekelompok ilmuwan ingin
mengelompokkan 6 buah fosil dinosaurus
kedalam wadah pengawet. Banyaknya
cara menyusun dimana satu fosil
menempati satu wadah adalah....","(A) 360 cara
(B) 720 cara
(C) 1200 cara
(D) 60 cara
(E) 3500 cara",(B) 720 cara,Peluang,432,84,sulit
pm2,"Nationalgeographic.co.id — Para ilmuwan
telah mengembangkan teknik baru untuk
pengisian baterai EV hanya dalam 10
menit. Terobosan ini merupakan
terobosan teknologi baterai yang
membuka jalan untuk adopsi massal mobil
listrik yang terjangkau.
Terobosan ini adalah kombinasi
pemecahan rekor dari waktu pengisian
yang lebih singkat dan lebih banyak energi

yang diperoleh untuk rentang perjalanan
yang lebih jauh.
Laporan penelitian tersebut telah
diterbitkan di jurnal bergengsi Nature
pada 12 Oktober 2022. Laporan tersebut
bisa didapatkan secara daring dengan
judul ""Fast charging of energy – dense
lithium – ion batteries.""
Jumlah elektron yang mengalir selama
pengisian didefinisikan sebagai,
perbandingan muatan listrik dengan
muatan dasar elektron. Jika muatan yang
mengalir adalah 3,6 C dan muatan
dasarnya adalah 1,6 × 10!""# C. Maka
jumlah elektron yang mengalir sepanjang
pengisian bahan bakar listrik adalah....","(A) 2,25 × 10¹⁹
(B) 22,5 × 10¹⁹
(C) 1,6 × 10¹⁹
(D) 16 × 10¹⁹
(E) 225 × 10²¹","(A) 2,25 × 10¹⁹",Bilangan Berpangkat,709,109,sulit
pm3,"Dalam suatu kelas terdapat 15 murid laki- laki dan 19 murid perempuan. Rata-rata nilai ulangan Matematika di kelas tersebut adalah 80. Setelah melihat hasil tersebut, guru Matematika memberikan kesempatan kepada 4 murid, dengan nilai masing-masing 52, 56, x, dan 66, untuk melakukan remedial. Diketahui bahwa nilai rata-rata peserta remedial naik 8 poin. Jika sebelum remedial, rata-rata nilai ulangan murid yang mengikuti remedial adalah 63. Maka nilai x dan simpangan baku dari sampel anak remedial adalah....","(A) 78 dan 404/3
'
(B) 63 dan 404/3
'
(C) 78 dan 4√(100/3)
'
(D) 63 dan 100/3
'
(E) 78 dan 2√(101/3)",(E) 78 dan 2√(101/3),Statistika,640,392,sedang
pm4,"Sebuah keramik persegi panjang memiliki keliling sebesar 20 cm. Jika luas dari keramik tersebut tidak kurang dari 20 cm^2, maka interval panjang dari persegi panjang tersebut adalah....","(A) −3 ≤ x ≤ 7
(B) 3 < x < 7
(C) −3 ≤ x atau x ≥ 7
(D) 3 ≤ x ≤ 7
(E) 7 ≤ x ≤ x",(D) 3 ≤ x ≤ 7,Pertidaksamaan Kuadrat,195,113,sedang
pm5,"Sebuah kantor ekspedisi memberlakukan
biaya tambahan Rp2500, − sebagai
asuransi pengiriman. Jika pengiriman
hanya menggunakan packing biasa, maka
dikenakan biaya Rp150, − per
kilometernya. Apabila pengiriman
dilakukan dengan penambahan packing
kayu dikenakan biaya tambahan sebesar
Rp10000, −. Adinda ingin mengirim
barang ke rumah Neneknya di Bandung
dari jakarta (200 km) dengan
menggunakan ekspedisi tersebut, dengan
pengamanan ekstra dan asuransi. Maka
total biaya yang harus dikeluarkan Adinda
adalah....","(A) Rp42500, −
(B) Rp32500, −
(C) Rp45000, −
(D) Rp54000, −
(E) Rp55500, −","(A) Rp42500, −",Fungsi Aljabar,833,713,mudah
pm6,"Pada sabtu sore, Joko mengirim x pesan
per jam selama 5 jam. Dan Anwar
mengirim y pesan per jam selama 4 jam.
Manakah ekspresi aljabar berikut yang
menyatakan banyaknya pesan yang
dikirim Joko dan Anwar pada sabtu sore?","(A) 9xy
(B) 20xy
(C) 5x + 4y
(D) 4x + 5y
(E) Semuanya salah",(C) 5x + 4y,Model Matematika,923,384,sedang
pm7,"Japri adalah seorang teknisi yang bekerja
di perushaan smartphone. Setiap
minggunya dia menerima beberapa paket
smartphone yang harus diperbaiki. Jumlah
smartphone yang tersisa untuk diperbaiki
di penghujung hari dapat diperkirakan
dengan persamaan :
p = 108 − 23d

Dimana p adalah banyaknya smartphone
yang tersisa, dan d adalah jumlah hari dia
bekerja pada pekan tertentu. Maksud dari
angka 108 pada persamaan tersebut
adalah?","(A) Japri bisa menyelesaikan perbaikan
selama 108 hari
(B) Japri setiap minggunya mendapatkan
108 smartphone untuk diperbaiki
(C) Japri mampu memperbaiki 108
smartphone per jam
(D) Japri mampu memperbaiki 108
smartphone per hari
(E) Tidak memiliki arti apapun, hanya
konstanta biasa.","(B) Japri setiap minggunya
mendapatkan 108 smartphone untuk
diperbaiki",Model Matematika,691,384,sedang
pm8,"h = 3µ + 28,6

Seorang dokter anak menggunakan model
di atas untuk melakukan estimasi h tinggi
anak laki – laki (dalam satuan inchi).
Sedangkan µ adalah usia anak laki – laki
(dalam tahun), antara rentang usia 2 – 5
tahun. Berdasarkan model berapakah
estimasi kenaikan tinggi badan anak laki –
laki per tahun?","(A) 3
(B) 5,7
(C) 9,5
(D) 14,3
(E) 2,7",(A) 3,Model Matematika,368,15,sulit
pm9,"b = 2,35 + 0,25x
c = 1,75 + 0,40x

Pada sistem persamaan diatas, b dan c
mewakili harga per kilogram daging sapi
dan daging ayam, dalam Euro (€) selama x
pekan di awal musim panas. Berapakah

harga per kilogram daging sapi disaat
harganya sama dengan harga per kilogram
daging ayam?","(A) € 2,60
(B) € 2,85
(C) € 2,95
(D) € 3,35
(E) € 2,21","(D) € 3,35",Sistem Persamaan Linear Dua Variabel,456,320,mudah
pm10,"Marko membeli laptop di toko yang
memberikan diskon sebesar 20% dari
harga aslinya. Total uang yang harus
dibayarkan dinotasikan dengan p Rupiah,
termasuk pajak sebesar 8% yang
diberlakukan untuk barang diskon.
Manakah bentuk matematis berikut yang
menyatakan harga asli laptop?","(A) 0,88p
(B) p/0.88
(C) (0,8)(1,08)p
(D) p/(0,8)(1,08)
(E) 1,08p","(D) p/(0,8)(1,08)",Aritmatika Sosial,14,6,sedang
pm11,"Seorang petugas lapang dari Badan
Meteorologi Klimatologi dan Geofisika,
melakukan pengamatan suhu udara.
Pengukuran dilakukan 4 kali dengan
selisih tiap pengukuran adalah 6 jam,
dengan pengukuran pertama dilakukan jam 07:00 pagi. Kecuali pada pengukuran
keempat yang memiliki selisih 8 jam dari
pengukuran ketiga. Hasil pengukuran
suhu udara pada 3 kali pengamatan
berturut – turut adalah
25°C, 34°C, dan 30°C. Pada pengamatan
keempat sang petugas ketiduran sehingga
tidak dilakukan adanya pengukuran. Jika
rata – rata suhu udara harian pada wilayah
pengamatan biasanya adalah 31,5°C. Maka
perkiraan nilai suhu pada pengukuran
keempat adalah....","(A) 30°C
(B) 20°C
(C) 25°C
(D) 31°C
(E) 35°C",(C) 25°C,Statistika,398,256,sedang
pm12,"Kirani merupakan seorang pegawai toko
Pizza. Ia ingin memotong Pizza pesanan
yang berdiameter 20 cm. Pizza tersebut
akan dipotong menjadi 10 bagian
membentuk juring. Besarnya sudut pusat
dari 10 potongan tersebut membentuk
barisan aritmatika. Jika besarnya sudut
pusat potongan Pizza yang terkecil sama
dengan 1/5 dari besar sudut pusat potongan
yang terbesar. Maka berapakah sudut
potongan Pizza terbesar?","(A) 90°
(B) 45°
(C) 60°
(D) 120°
(E) 112°",(C) 60°,Barisan dan Deret,884,20,sulit
pm13,"Sebuah produsen air mineral membuat
tiga varian ukuran kemasan dalam bentuk
botol. Ketiga ukuran tersebut adalah kecil,
sedang, dan besar. Volume 2 botol kecil
dan 3 botol sedang adalah 3450 mL.
Volume 3 botol kecil dan 4 botol besar
adalah 7800 mL. Sedangkan volume 2
botol sedang dan 3 botol besar adalah
6000 mL. Jika seorang penderita gagal
ginjal hanya diperbolehkan untuk
mengonsumsi air tidak lebih dari 1,6 liter
per hari. Maka varian ukuran dan jumlah
yang bisa diminum adalah....","(A) 1 kecil dan 1 sedang
(B) 2 kecil dan 1 sedang
(C) 1 besar dan 1 sedang
(D) 1 kecil dan 1 besar
(E) 2 kecil dan 1 sedang",(A) 1 kecil dan 1 sedang,"Sistem Persamaan Linear Tiga
Variabel",132,37,sulit
