id_soal,soal,jawaban,jawaban_benar,materi,jumlah_dikerjakan,jumlah_benar,Label_kategori_soal
pm1,"Nationalgeographic.co.id—Penelitian baru
dari University of California - Riverside
menunjukan perubahan lingkungan dapat
menyebabkan kepunahan massal dapat
terjadi jutaan tahun lebih awal dari yang
disadari para ilmuwan sebelumnya.
Kehilangan ribuan spesies setiap tahun,
Bumi saat ini tengah menuju kepunahan
massal.
Kebanyakan dinosaurus terkenal
menghilang 66 juta tahun yang lalu pada
akhir periode Cretaceous. Sebelum ini,
mayoritas makhluk Bumi dimusnahkan

antara periode Permian dan Trias, kira-
kira 252 juta tahun yang lalu.

Berkat upaya para peneliti di UC Riverside
dan Virginia Tech, kini diketahui bahwa
kepunahan serupa terjadi 550 juta tahun
lalu, selama periode Ediakara. Penemuan
ini didokumentasikan dalam makalah
Prosiding National Academy of Sciences.
Untuk kepentingan penelitian,
sekelompok ilmuwan ingin
mengelompokkan 6 buah fosil dinosaurus
kedalam wadah pengawet. Banyaknya
cara menyusun dimana satu fosil
menempati satu wadah adalah....","(A) 360 cara
(B) 720 cara
(C) 1200 cara
(D) 60 cara
(E) 3500 cara",(B) 720 cara,Peluang,986,10,mudah
pm2,"Nationalgeographic.co.id — Para ilmuwan
telah mengembangkan teknik baru untuk
pengisian baterai EV hanya dalam 10
menit. Terobosan ini merupakan
terobosan teknologi baterai yang
membuka jalan untuk adopsi massal mobil
listrik yang terjangkau.
Terobosan ini adalah kombinasi
pemecahan rekor dari waktu pengisian
yang lebih singkat dan lebih banyak energi

yang diperoleh untuk rentang perjalanan
yang lebih jauh.
Laporan penelitian tersebut telah
diterbitkan di jurnal bergengsi Nature
pada 12 Oktober 2022. Laporan tersebut
bisa didapatkan secara daring dengan
judul ""Fast charging of energy – dense
lithium – ion batteries.""
Jumlah elektron yang mengalir selama
pengisian didefinisikan sebagai,
perbandingan muatan listrik dengan
muatan dasar elektron. Jika muatan yang
mengalir adalah 3,6 C dan muatan
dasarnya adalah 1,6 × 10!""# C. Maka
jumlah elektron yang mengalir sepanjang
pengisian bahan bakar listrik adalah....","(A) 2,25 × 10¹⁹
(B) 22,5 × 10¹⁹
(C) 1,6 × 10¹⁹
(D) 16 × 10¹⁹
(E) 225 × 10²¹","(A) 2,25 × 10¹⁹",Bilangan Berpangkat,10,10,mudah
pm3,"Dalam suatu kelas terdapat 15 murid laki- laki dan 19 murid perempuan. Rata-rata nilai ulangan Matematika di kelas tersebut adalah 80. Setelah melihat hasil tersebut, guru Matematika memberikan kesempatan kepada 4 murid, dengan nilai masing-masing 52, 56, x, dan 66, untuk melakukan remedial. Diketahui bahwa nilai rata-rata peserta remedial naik 8 poin. Jika sebelum remedial, rata-rata nilai ulangan murid yang mengikuti remedial adalah 63. Maka nilai x dan simpangan baku dari sampel anak remedial adalah....","(A) 78 dan 404/3
'
(B) 63 dan 404/3
'
(C) 78 dan 4√(100/3)
'
(D) 63 dan 100/3
'
(E) 78 dan 2√(101/3)",(E) 78 dan 2√(101/3),Statistika,10,10,mudah
pm4,"Sebuah keramik persegi panjang memiliki keliling sebesar 20 cm. Jika luas dari keramik tersebut tidak kurang dari 20 cm^2, maka interval panjang dari persegi panjang tersebut adalah....","(A) −3 ≤ x ≤ 7
(B) 3 < x < 7
(C) −3 ≤ x atau x ≥ 7
(D) 3 ≤ x ≤ 7
(E) 7 ≤ x ≤ x",(D) 3 ≤ x ≤ 7,Pertidaksamaan Kuadrat,10,10,mudah
pm5,"Sebuah kantor ekspedisi memberlakukan
biaya tambahan Rp2500, − sebagai
asuransi pengiriman. Jika pengiriman
hanya menggunakan packing biasa, maka
dikenakan biaya Rp150, − per
kilometernya. Apabila pengiriman
dilakukan dengan penambahan packing
kayu dikenakan biaya tambahan sebesar
Rp10000, −. Adinda ingin mengirim
barang ke rumah Neneknya di Bandung
dari jakarta (200 km) dengan
menggunakan ekspedisi tersebut, dengan
pengamanan ekstra dan asuransi. Maka
total biaya yang harus dikeluarkan Adinda
adalah....","(A) Rp42500, −
(B) Rp32500, −
(C) Rp45000, −
(D) Rp54000, −
(E) Rp55500, −","(A) Rp42500, −",Fungsi Aljabar,10,10,mudah
pm6,"Pada sabtu sore, Joko mengirim x pesan
per jam selama 5 jam. Dan Anwar
mengirim y pesan per jam selama 4 jam.
Manakah ekspresi aljabar berikut yang
menyatakan banyaknya pesan yang
dikirim Joko dan Anwar pada sabtu sore?","(A) 9xy
(B) 20xy
(C) 5x + 4y
(D) 4x + 5y
(E) Semuanya salah",(C) 5x + 4y,Model Matematika,10,10,mudah
pm7,"Japri adalah seorang teknisi yang bekerja
di perushaan smartphone. Setiap
minggunya dia menerima beberapa paket
smartphone yang harus diperbaiki. Jumlah
smartphone yang tersisa untuk diperbaiki
di penghujung hari dapat diperkirakan
dengan persamaan :
p = 108 − 23d

Dimana p adalah banyaknya smartphone
yang tersisa, dan d adalah jumlah hari dia
bekerja pada pekan tertentu. Maksud dari
angka 108 pada persamaan tersebut
adalah?","(A) Japri bisa menyelesaikan perbaikan
selama 108 hari
(B) Japri setiap minggunya mendapatkan
108 smartphone untuk diperbaiki
(C) Japri mampu memperbaiki 108
smartphone per jam
(D) Japri mampu memperbaiki 108
smartphone per hari
(E) Tidak memiliki arti apapun, hanya
konstanta biasa.","(B) Japri setiap minggunya
mendapatkan 108 smartphone untuk
diperbaiki",Model Matematika,10,9,mudah
pm8,"h = 3µ + 28,6

Seorang dokter anak menggunakan model
di atas untuk melakukan estimasi h tinggi
anak laki – laki (dalam satuan inchi).
Sedangkan µ adalah usia anak laki – laki
(dalam tahun), antara rentang usia 2 – 5
tahun. Berdasarkan model berapakah
estimasi kenaikan tinggi badan anak laki –
laki per tahun?","(A) 3
(B) 5,7
(C) 9,5
(D) 14,3
(E) 2,7",(A) 3,Model Matematika,10,9,mudah
pm9,"b = 2,35 + 0,25x
c = 1,75 + 0,40x

Pada sistem persamaan diatas, b dan c
mewakili harga per kilogram daging sapi
dan daging ayam, dalam Euro (€) selama x
pekan di awal musim panas. Berapakah

harga per kilogram daging sapi disaat
harganya sama dengan harga per kilogram
daging ayam?","(A) € 2,60
(B) € 2,85
(C) € 2,95
(D) € 3,35
(E) € 2,21","(D) € 3,35",Sistem Persamaan Linear Dua Variabel,10,9,mudah
pm10,"Marko membeli laptop di toko yang
memberikan diskon sebesar 20% dari
harga aslinya. Total uang yang harus
dibayarkan dinotasikan dengan p Rupiah,
termasuk pajak sebesar 8% yang
diberlakukan untuk barang diskon.
Manakah bentuk matematis berikut yang
menyatakan harga asli laptop?","(A) 0,88p
(B) p/0.88
(C) (0,8)(1,08)p
(D) p/(0,8)(1,08)
(E) 1,08p","(D) p/(0,8)(1,08)",Aritmatika Sosial,10,9,mudah
