id_soal,soal,jawaban,jawaban_benar,materi,jumlah_dikerjakan,jumlah_benar,kategori_soal
pk1,"Sebuah kurva parabolik memiliki fungsi
f(x) = 2x² + bx + 5b dengan b ≠ 0
memotong sumbu x di dua titik yang
berbeda. Dibawah ini pernyataan yang
benar terkait b adalah....","(A) b > 2√10
(B) b < 0 atau b > 40
(C) b < 2√10
(D) b < 40
(E) 0 < b < 40",(B) b>0 atau b>40,fungsi kuadrat,257,135,2
pk2,"Terdapat sampel berat badan 5 orang
(dalam kg) karyawan kantor sebagai
berikut :

70, x, 92,85,84

Jika rata – rata berat badan orang
dewasa di kantor tersebut adalah 79 kg.
Mana kah pernyataan yang benar
dibawah ini?","(A) Berat badan orang x adalah 74 kg
(B) Variansi data sampel adalah √134
(C) Jangkauannya adalah 22
(D) Data terkecil sama dengan (n − 1)^3 dimana n adalah banyaknya data
sampel
(E) Median data adalah 92.",(D) Data terkecil sama dengan (n-1)^3 dimana n adalah banyaknya data sampel,statistika,611,604,1
pk3,"Terdapat garis y = 2x + 3 dan kurva
parabolik dengan fungsi f(x) = ax² −
6x − 9. Jika keduanya saling
bersinggungan di salah satu titik, maka
nilai a adalah....","(A) −1
(B) 1
(C) − 4/3
(D) − 3/4
(E) 3/4",(C) − 4/3,fungsi kuadrat,740,633,1
pk4,"Dari angka-angka 1, 2, 3, 4, 5, dan 6, akan
dibentuk suatu bilangan dengan syarat

setiap bilangan tidak boleh ada angka
yang sama. Berapakah banyaknya
bilangan yang terdiri atas 4 angka dan
merupakan bilangan prima?","(A) 60 cara
(B) 120 cara
(C) 100 cara
(D) 160 cara
(E) 180 cara",(E) 180 cara,kombinasi dan permutasi,928,355,3
pk5,"Garis dengan persamaan mana saja yang
memotong garis 2x + y = 4 dan x +
2y = 2 di dua titik berbeda?
(1) y = −x + 5
(2) y = x − 2
(3) y = 3x − 1
(4) y = −2x + 7","(A) (1), (2), (3)
(B) (1) dan (3)
(C) (2) dan (4)
(D) Hanya (4) yang benar
(E) Semuanya benar",(D) Hanya (4) saja,persamaan garis,285,104,3
pk6,"Jika a/b = 2, maka nilai dari 4a/b adalah....","(A) 0
(B) 1
(C) 2
(D) 3
(E) 4",(C) 2,aljabar,34,2,3
pk7,"Jika (ax + 2)(bx + 7) = 15x² + cx + 14
untuk semua nilai x, dan a + b = 8,
maka nilai c yang mungkin adalah....","(A) 3 dan 5
(B) 6 dan 35
(C) 10 dan 21
(D) 31 dan 41
(E) 31 dan 39",(D) 31 dan 41,fungsi kuadrat,610,562,1
pk8,"Manakah angka berikut yang tidak
termasuk dalam solusi dari
pertidaksamaan berikut :
3x − 5 ≥ 4x − 3","(A) −1
(B) −2
(C) −3
(D) −5
(E) −6",(A) −1,Pertidaksamaan Linear,536,40,3
pk9,"Diberikan 4 buah data yaitu 3,5,9, x. Berapakah banyaknya dari empat pernyataan berikut yang bernilai benar berdasarkan informasi di atas?
(1) Rata-rata kumpulan data tersebut 6 bila x = 7. 
(2) Median kumpulan data tersebut 5 bila x = 5.
(3) Jangkauan kumpulan data tersebut 4 bila x = 6.
(4) Modus kumpulan data tersebut 3 bila x = 5. ","(A) 0
(B) 1
(C) 2
(D) 3
(E) 4",(C) 2,statistika,156,25,3
pk10,"Bilangan riil x memenuhi pertidaksamaan 2x − 1 > 4. Berdasarkan informasi yang diberikan, manakah hubungan antara kuantitas P dan Q yang benar? diketahui p = -1/2x dan q=-7/2","(A) P > Q
(B) Q < P
(C) P = Q
(D) 2P < Q
(E) Tidak dapat ditentukan",(A) P > Q,Pertidaksamaan Linear,538,109,3
pk11,"Titik P dan Q berturut-turut terletak pada rusuk AB dan BC kubus ABCD. EFGH dengan PA: PB = 1: 2 dan BQ:QP = 1: 1.
Manakah dari tiga pernyataan berikut yang bernilai benar berdasarkan informasi di atas?
(1) Perbandingan volume limas PBQ. F dan volume kubus ABCD. EFGH = 1: 18.
(2) Perbandingan luas segitga PBQ dengan luas persegi ABCD = 1: 6
(3) PQ: AC = 1: √2","(A) Semua pernyataan benar
(B) Pernyataan (1) dan (2) SAJA yang benar
(C) Pernyataan (2) dan (3) SAJA yang benar
(D) Pernyataan (3) SAJA yang benar
(E) Tidak ada pernyataan yang benar",(B) Pernyataan (1) dan (2) saja yang benar,Bangun Ruang,438,212,2
pk12,"Materi : operasi bilangan
Diketahui interval x adalah −1 ≤ x < 3 ≤ y < 5
Berdasarkan informasi tersebut, manakah hubungan antara kuantitas P dan Q yang benar. P= Banyaknya x dan y; Q= 3 kalinya bilangin terakhir pada interval x","(A) P > Q
(B) P < Q
(C) Q > P
(D) P = Q
(E) Tidak dapat ditentukan hubungan",(D) P = Q,Operasi Bilangan ,527,431,1
pk13,((2x + 6)/(x+2)^2)− (2/x+2) Ekspresi diatas ekuivalen dengan (a/(x+2)^2)  dimana a adalah konstanta positif dan nilai x ≠ −2. Berapa nilai dari a?,"(A) 5
(B) 4
(C) 3
(D) 2
(E) 1",(D) 2,Ekspresi Matematika,785,239,3
pk14,"Boruto memiliki 5 celana dan 7 baju dalam lemarinya. Dia ingin memakai celana dan baju yang berberda setiap harinya, tanpa membeli yang baru sebisa mungkin. Berapa minggu dia bisa melakukan hal tersebut?","(A) 7
(B) 8
(C) 6
(D) 4
(E) 5",(E) 5,kombinasi dan permutasi,422,417,1
